年度,戶籍登記人口數(千人),國民生產毛額(億元),國內生產毛額(億元),國民所得(億元),平均每人國民所得(台幣),平均每人國民所得(美元),消費者物價指數(%),國民儲蓄率(%),經濟成長率(%),備註
2001,22406,103086,101194,89799,401946,11888,85.46,26.69,-1.40,資料來源：行政院主計總處(中華民國統計資訊網)
2002,22521,108670,106309,94484,420616,12164,85.29,27.99,5.48,"註：1.消費者物價指數基期：2016年=100.00。
註：2.本表所載之各項統計數字，如有與以前各期不同者，悉以本"
2003,22605,112462,109240,98330,435810,12662,85.05,29.72,4.22,"註：2.期數字為準。
註：3.依聯合國SNA規定，原國民生產毛額(GNP)自2014年起改為
註：2.國民所得毛額(GNI)。"
2004,22689,119596,115962,103968,459084,13733,86.42,30.01,6.95,
2005,22770,123218,120367,106563,468828,14569,88.41,29.09,5.38,
2006,22877,128785,125726,110442,483897,14875,88.94,30.53,5.77,
2007,22958,136894,133639,115400,503548,15333,90.54,31.07,6.85,
2008,23037,134209,131151,110974,482543,15299,93.74,29.17,0.80,
2009,23120,133218,129194,109221,473259,14315,92.92,28.90,-1.61,
2010,23162,144761,140603,121313,524234,16563,93.81,32.83,10.25,
2011,23225,146343,142622,122273,527186,17889,95.15,31.16,3.67,
2012,23316,151100,146778,124967,537021,18130,96.99,30.45,2.22,
2013,23374,156732,152707,131944,565198,18985,97.76,32.39,2.48,
2014,23434,166972,162580,142122,607264,19996,98.93,34.35,4.72,
2015,23492,174947,170551,148606,633367,19849,98.62,35.46,1.47,
2016,23540,180064,175553,153055,650854,20132,100.00,35.21,2.17,
2017,23571,184307,179833,157338,667945,21943,100.62,35.61,3.31,
2018,23589,187898,183750,159684,677201,22454,101.98,34.77,2.79,
2019,23603,193848,189086,163125,691326,22351,102.55,34.74,3.06,
2020,23561,204866,199148,172325,730744,24704,102.31,38.76,3.39,
2021,23375,222314,216632,189127,805883,28761,104.32,43.32,6.62,
2022,23265,233746,226798,195490,838294,28121,107.40,41.53,2.59,
2023,23420,242404,235375,199850,855129,27381,110.08,37.75,1.42,
